image_id,xmin,ymin,xmax,ymax
23c7f89d00006caee536a22e5807de95,994,596,1079,705
7e53cd9413f0333db10fab205c03bb0e,775,783,855,887
506da85290a45fdfdca3e07d19c07353,605,27,899,285
e3319f6372660a9ec4eea1a049f8ebfc,1061,946,1109,1024
b38e19187c0b4f37fd1731270d8e8f8a,835,525,940,635
01adf52fb46111b11cff9d4dfa7ffa38,362,290,508,522
e52982af0452b863cecc1ce39fd71dff,311,254,1156,623
e34648cd29878dace2ac6a4e4073ca15,301,782,441,924
b68cc7bc10c342aa02eb498bf158313a,187,199,275,353
7e5cabd6cbeab07d3d6d3858e6e3e746,236,436,282,491
7aca9f916936350fd04fde7bebc39da8,0,0,1046,652
3b4454b108b33fe2914431bd00802cb3,618,83,680,218
15cb303bff54196351ff021a8fb73838,36,220,249,343
467b7d46fb45f931114f397883c40ebf,551,786,733,870
d481abe2d2d36970c6e184d699b26889,217,257,466,548
faddf45fece94e1df6f02867707bbed4,787,662,1074,1024
99a6adeba92933b9d8dca7e8f1f8820b,482,243,814,470
54fc55e0c4236394963418d000262d0c,1098,543,1171,763
e2060236f99be5fb415a1b1372abe396,116,344,278,661
2f189c4c32ff6b04b06988940efab3fb,260,211,1035,724
15035a0a6a4d0dfec28c994c8911f415,561,35,645,97
00ad739c01e6d5513a9e1f1cb3dcf852,562,326,830,450
05d8449d711d6659548f0a509642f621,279,0,1004,735
81b27d8ee7ee07e83621fe0a25c7da69,265,82,406,278
711994f52a5f08b3d5870731f6164cfb,138,803,223,908
c37281a83916788be5682d7c2ed811cd,469,542,552,634
d4a89ab556b0d9ce695e39dc258a4d27,571,63,630,254
bfc9d428e190c4821e35f819a3651c66,806,450,974,682
f47008a7a6646d57e9cb8bbe48910611,375,204,504,272
477c4c3a9f334ac1a9b7ea2ff61df9f0,1101,525,1218,566
8d3bc78c4308917dd3343338a6c21802,784,806,1064,1024
38936971aa473fcd5f54a2438c2398ad,990,36,1141,194
53b59274b40be4693d6ab494223b0873,789,637,959,707
1e167ca2e1261680af78700e3b760756,110,410,224,464
153dd3d3a629a412285ae8864dff62aa,608,844,815,999
4e7f6500e03df0c89644cfa623adef60,110,614,520,799
5017db594bb4c78e505f6de0bd13a636,776,358,828,472
da87b07b156b906e297c706099270294,378,541,449,645
716004a1eff16a51df309e051dda8df4,916,311,994,437
363854ac9648e247fd15d2c2dc76570f,668,66,819,268
a02d8382df739926ba199c974361566b,902,194,1158,472
70f7a8b9546725a5622556e31743f4ec,683,369,827,636
92f84b8c3541876b26eea40211e46968,132,177,256,227
e30091d212cb1e52f841ba9a74292ee8,385,0,1167,1024
8be84a5086f1366c3e954ed0ca67290c,442,0,1280,1024
657abbeb4fa87c3738e812598e9ecabb,922,737,1017,912
a22d9ff40172985c1dbc560da37c2cf3,673,172,766,294
