image_id,xmin,ymin,xmax,ymax
0001954c9f4a58f7ac05358b3cda8d20,0,277,345,709
00054819240f9d46378288b215dbcd3a,753,602,932,725
000dbf763348037b46558bbcb6a032ac,160,434,203,481
000e79208bebd8e84ce6c22fd8612a0d,70,534,211,586
000f13aff94499d03e3997afc55b0aa0,103,0,312,193
001013fb356cccac1cdebd62bd01b12e,911,388,976,530
0011268c3abc36b40338762dd6aa9c98,1143,136,1280,1024
0013ce8ba0b7cde0ae34454178cd7c31,324,0,526,305
0015333a2635501554621de57fc5c111,930,37,1079,115
001578e4d99c3f0043a6eff67f2354f0,1137,560,1193,650
00169f118701375a1f00339a8a58f41e,488,440,957,688
0017924568bd6f7a07360177d300bece,115,521,257,638
0017b0115622aa9c5b35c4213d642bef,0,610,1280,1024
0017b5b3d0136aead250abe8146fb04c,781,446,830,495
001a8b499466b00da8fe7a5c1fbdbaf7,680,602,988,1013
001ba5430199f88860642aeb24128f7d,254,491,287,525
0021cca990a1828ec6550bacece3029b,1020,639,1280,894
00251c355e5f6f09cadbb687088497be,535,547,621,582
00260bb51c012de3a14f5a5b383b754a,1072,40,1215,236
00266e07ecccec6ed3a51c7bc6c2f5ba,146,481,191,528
002814fed6e205cb11b581edf40074d6,857,419,884,495
002b44411932ed2befd9a8e90bfcc6f2,210,397,728,561
002e6fa70c35c1ceec08082075ec91cd,796,90,1205,1024
0031f8c1b3668fc860c8608d17c1dc32,440,670,479,729
00341038e3f0dae4f1de85f453c3e16d,0,553,356,843
003424b1119cae92976e49b5c106dd01,0,289,180,531
00376e212db52a04136e690ea53cc59a,328,628,667,855
003b27510aebcec6df2ede523f529302,326,473,675,572
003d0b3333cd163f5bec18e85be80ed2,577,480,628,641
0040566b7b5012eeff9da2b084fbb834,511,834,585,934
00409a43d75a09f61bb94f137460f962,742,106,1180,411
00411a3a6d3f05d93645d0cb157fb1b4,1099,576,1237,677
0042d1d5a7449036d0d2754b15fd2afe,0,0,489,636
0042f1efa96d5fbd132139aa4ad34cf7,1054,367,1100,474
00477c6fa3225c6d4179b41495fe937d,397,94,425,125
0047d2eec2bf6696ee6a4b4733490bfc,128,317,322,532
004d8fc0b6fa6e333cf80aa2c01376be,957,512,973,526
004ea5ba7322c239e29fd1dd4db0b7aa,1081,890,1140,1005
004f8bd63bf3e3645dbf7253da3a5776,6,377,449,649
00523e058b79316b17f22f6ce509babe,0,0,1280,1024
0054f0634870279cdcacf54bec3a3df4,813,104,946,282
0055e3ce459de0205df5df288ef5163c,1169,735,1217,797
005c0d77522e210ccd1cb1c64cf33bef,552,0,1280,1024
00644572c7e8a05b014fa2d19bb4948d,514,15,652,77
006494f06995cfbd26bec2611023b464,823,542,1280,865
00649855f3f6c241493575a99f692504,1183,258,1228,301
00672dc30a07529fdeee7f3ee63b4f55,429,215,582,327
006e2fb07ff53d034c44f7cb1e853370,299,418,373,468
007014e706eb9c00a9599df87730fec7,844,16,951,148
0071952445ce5baad700318c2537a8e4,0,223,678,814
0072014be215c8d17293f0bf080e5f8d,396,771,594,1024
00798acc03ccc14e7885d2a58af8ddd4,1152,522,1185,534
007a6680568904e6e6da4d83a546b755,921,449,1252,691
007bb2f55ac2bd480abc3e0636889cef,909,633,1093,716
007dfcfd179c083b66d93722498e51ee,1123,135,1239,186
0082efb0c9fb36eb8d929fcd6bf231ad,53,356,197,765
0085d45c98ab6982adde92abd8d3c9cf,147,0,269,293
0087d5f91ea7f96d95fe51d254d170ae,755,100,843,146
0087f7c8ffaae58eb5ff1a1c94411176,101,330,146,375
0088a0d6f3ccaaa112f9d2df52f4adbb,0,729,755,914
0088c48a9d23dd534e0d6063e3bb6d01,61,442,1280,1024
008a56c14f7d33a900e1c99138430cf1,1122,807,1221,916
008c5f9df5b23b5a99b5a9f68d63ad55,285,0,1280,1024
008cbd86f41e6c9c873f644eb338aaff,464,301,524,438
0090913d040c8e5bb846216177f0cb79,764,290,978,525
00963bce179474fd68d9fa427fd4dd51,844,267,1114,589
0097ff241bc9a971ce751a9663972442,239,387,297,464
009a75fca8f1c91758a225ec9e04112d,531,745,550,760
009c5459f64cc4a7981d8021175fdf4f,270,331,1280,1024
009ca49e6f61962a04c288f8711e170f,335,205,364,285
009d0777f5aa30cef40c8dfb5225c6c4,278,704,475,812
00a257cb17325152e35c0ccd17e3ad51,0,388,401,1024
00a2e221a62f5c98c116f977ee4a447d,244,686,327,735
00a5abac1b2784e032c6c4d26db5d57f,226,0,572,1024
00a6e3e5280453302ddf5fe174fba37b,69,0,252,384
00a9b9394502c46d499db834a7561ff7,554,0,713,562
00ab7b5b7c55dee2f02453202b3b0130,751,328,862,441
00af0f417c020191859e793ea168b56f,526,118,590,320
00b5e67f75131abb8317f474f18a4b70,276,329,477,507
00b6ce1b4ec447d0512fd9a27efcf1b3,640,0,991,966
00b756ba1c4df6b309f7e39caca5c0de,721,431,972,566
00b978516ce330e5b37d4b9ee715dea5,818,192,831,205
00ba29e8b69559336fa7015fa1134850,195,461,421,675
00baf99515aaa57c7eea30221c7a18a0,647,21,783,442
00bb4879fcc1d1a12d7ef4c692128076,726,0,1280,1007
00be6d27ca9ca9d2246a58dd0556279d,312,579,789,1024
00c31e539fe11e4717e239e3bc4713a5,982,705,1280,960
00c515928f8e3b135d890407d5615f35,797,597,881,636
00c9760ce14f997c8354b93d6ec773cd,117,0,764,436
00c9f94e1526d96a5586dcf30f05e96f,535,900,558,942
00d13ee2564966af13cdc2640fd3af42,516,692,729,774
00d4c331eac57080756494969e128799,389,819,437,887
00d5f3a5ff6ad6df49c03d3421889cdc,137,112,302,265
00d616364ddafd10a7f9667723e43512,962,737,985,759
00d61dd0877f719fd1f2c5a074f1298c,932,896,1280,1024
00eb86105be6d002f34a6f3f17cbaf4a,418,106,798,328
00ebe3c5659496a21f7b576515426f70,518,83,578,97
00ec09a41727c1f4ecc271aa0a5f4b19,465,477,598,605
00f0030058faec9219a361e6401355ea,119,136,146,177
00f011378e973745b8037a181ff96de4,1086,93,1118,128
00f1a822a462544fea763cbb09485b6e,348,884,404,924
00f1b6ab72ed01ad700bac9f43b2da00,402,742,476,780
00f1e7d1d744b3719f8b359830128483,403,261,443,362
00f4127f09bc33ed7ebaeb6cb8a0d478,115,434,167,489
00f5556dd39028e7722af857394634ea,382,58,482,347
00f67b85ad8018155df734782f3e5848,634,560,786,638
00f764a14314f10cf7fdab8d251651f9,561,225,770,481
00fa464ee02fd076b9209b02372d2289,1046,190,1108,232
00fb9992c78fb2ee95025a9b1cc2bd32,607,234,741,355
00fdf4c27e22be7190658f461c90a44c,371,502,595,684
010050737f7a3514acf52480b69a01ca,968,610,1044,692
