image_id,spacecraft_id,background_id
0001954c9f4a58f7ac05358b3cda8d20,24,247
00054819240f9d46378288b215dbcd3a,14,10
000dbf763348037b46558bbcb6a032ac,19,17
000e79208bebd8e84ce6c22fd8612a0d,14,15
000f13aff94499d03e3997afc55b0aa0,28,15
001013fb356cccac1cdebd62bd01b12e,28,13
0011268c3abc36b40338762dd6aa9c98,30,10
0013ce8ba0b7cde0ae34454178cd7c31,25,3
0015333a2635501554621de57fc5c111,28,7
001578e4d99c3f0043a6eff67f2354f0,19,164
00169f118701375a1f00339a8a58f41e,11,210
0017924568bd6f7a07360177d300bece,5,8
0017b0115622aa9c5b35c4213d642bef,30,194
0017b5b3d0136aead250abe8146fb04c,13,5
001a8b499466b00da8fe7a5c1fbdbaf7,11,216
001ba5430199f88860642aeb24128f7d,22,164
0021cca990a1828ec6550bacece3029b,20,112
00251c355e5f6f09cadbb687088497be,28,247
00260bb51c012de3a14f5a5b383b754a,18,278
00266e07ecccec6ed3a51c7bc6c2f5ba,18,265
002814fed6e205cb11b581edf40074d6,24,15
002b44411932ed2befd9a8e90bfcc6f2,30,194
002e6fa70c35c1ceec08082075ec91cd,30,267
0031f8c1b3668fc860c8608d17c1dc32,20,11
00341038e3f0dae4f1de85f453c3e16d,5,130
003424b1119cae92976e49b5c106dd01,5,16
00376e212db52a04136e690ea53cc59a,14,230
003b27510aebcec6df2ede523f529302,2,2
003d0b3333cd163f5bec18e85be80ed2,28,105
0040566b7b5012eeff9da2b084fbb834,19,225
00409a43d75a09f61bb94f137460f962,28,12
00411a3a6d3f05d93645d0cb157fb1b4,5,11
0042d1d5a7449036d0d2754b15fd2afe,30,4
0042f1efa96d5fbd132139aa4ad34cf7,24,8
00477c6fa3225c6d4179b41495fe937d,13,6
0047d2eec2bf6696ee6a4b4733490bfc,22,147
004d8fc0b6fa6e333cf80aa2c01376be,13,163
004ea5ba7322c239e29fd1dd4db0b7aa,24,7
004f8bd63bf3e3645dbf7253da3a5776,11,229
00523e058b79316b17f22f6ce509babe,28,13
0054f0634870279cdcacf54bec3a3df4,25,17
0055e3ce459de0205df5df288ef5163c,24,16
005c0d77522e210ccd1cb1c64cf33bef,5,13
00644572c7e8a05b014fa2d19bb4948d,28,12
006494f06995cfbd26bec2611023b464,28,15
00649855f3f6c241493575a99f692504,19,187
00672dc30a07529fdeee7f3ee63b4f55,19,235
006e2fb07ff53d034c44f7cb1e853370,18,121
007014e706eb9c00a9599df87730fec7,14,8
0071952445ce5baad700318c2537a8e4,11,15
0072014be215c8d17293f0bf080e5f8d,22,15
00798acc03ccc14e7885d2a58af8ddd4,2,8
007a6680568904e6e6da4d83a546b755,22,6
007bb2f55ac2bd480abc3e0636889cef,25,191
007dfcfd179c083b66d93722498e51ee,19,268
0082efb0c9fb36eb8d929fcd6bf231ad,6,12
0085d45c98ab6982adde92abd8d3c9cf,25,260
0087d5f91ea7f96d95fe51d254d170ae,3,5
0087f7c8ffaae58eb5ff1a1c94411176,2,13
0088a0d6f3ccaaa112f9d2df52f4adbb,30,171
0088c48a9d23dd534e0d6063e3bb6d01,30,159
008a56c14f7d33a900e1c99138430cf1,6,139
008c5f9df5b23b5a99b5a9f68d63ad55,25,278
008cbd86f41e6c9c873f644eb338aaff,28,148
0090913d040c8e5bb846216177f0cb79,14,3
00963bce179474fd68d9fa427fd4dd51,6,261
0097ff241bc9a971ce751a9663972442,18,222
009a75fca8f1c91758a225ec9e04112d,13,9
009c5459f64cc4a7981d8021175fdf4f,24,208
009ca49e6f61962a04c288f8711e170f,20,112
009d0777f5aa30cef40c8dfb5225c6c4,19,11
00a257cb17325152e35c0ccd17e3ad51,30,110
00a2e221a62f5c98c116f977ee4a447d,24,12
00a5abac1b2784e032c6c4d26db5d57f,14,179
00a6e3e5280453302ddf5fe174fba37b,2,13
00a9b9394502c46d499db834a7561ff7,2,3
00ab7b5b7c55dee2f02453202b3b0130,14,261
00af0f417c020191859e793ea168b56f,6,241
00b5e67f75131abb8317f474f18a4b70,28,16
00b6ce1b4ec447d0512fd9a27efcf1b3,30,105
00b756ba1c4df6b309f7e39caca5c0de,11,4
00b978516ce330e5b37d4b9ee715dea5,13,17
00ba29e8b69559336fa7015fa1134850,25,9
00baf99515aaa57c7eea30221c7a18a0,30,258
00bb4879fcc1d1a12d7ef4c692128076,30,281
00be6d27ca9ca9d2246a58dd0556279d,28,207
00c31e539fe11e4717e239e3bc4713a5,28,214
00c515928f8e3b135d890407d5615f35,6,9
00c9760ce14f997c8354b93d6ec773cd,22,16
00c9f94e1526d96a5586dcf30f05e96f,22,260
00d13ee2564966af13cdc2640fd3af42,28,254
00d4c331eac57080756494969e128799,24,13
00d5f3a5ff6ad6df49c03d3421889cdc,14,210
00d616364ddafd10a7f9667723e43512,13,8
00d61dd0877f719fd1f2c5a074f1298c,28,10
00eb86105be6d002f34a6f3f17cbaf4a,24,170
00ebe3c5659496a21f7b576515426f70,2,16
00ec09a41727c1f4ecc271aa0a5f4b19,28,183
00f0030058faec9219a361e6401355ea,19,1
00f011378e973745b8037a181ff96de4,19,106
00f1a822a462544fea763cbb09485b6e,22,171
00f1b6ab72ed01ad700bac9f43b2da00,24,9
00f1e7d1d744b3719f8b359830128483,24,12
00f4127f09bc33ed7ebaeb6cb8a0d478,22,121
00f5556dd39028e7722af857394634ea,30,214
00f67b85ad8018155df734782f3e5848,20,12
00f764a14314f10cf7fdab8d251651f9,20,233
00fa464ee02fd076b9209b02372d2289,2,1
00fb9992c78fb2ee95025a9b1cc2bd32,14,12
00fdf4c27e22be7190658f461c90a44c,19,15
010050737f7a3514acf52480b69a01ca,11,153
01020bc0bb704d91b2b9379fde9f098b,14,3
01043a38213e08c05f8953e358972d1c,28,237
0106fd8817d6d99a4fa7c03251af6ba8,22,194
0108e881a09b403a6f79024993f144bf,14,248
01106dfcf09dd6324e53433e43096c64,30,270
0113580f3742ef1a2e8cd4043d9bc418,3,15
0114e0e26ea7970ec0f021c98c081ebb,18,251
01161e89b9016890a1d1714e74f37134,22,127
0117436d720839c9d87eefc79047f942,13,7
011b8bfa45aa1215909196c4a43c1b58,22,230
011be9539abf3b0a3d3c09e76c57b3a8,24,12
011d74dcd0ed7f63a8ddbb74fbd40a62,24,11
011e63b0b94b3a7a2427aef2ab7f8239,30,4
011fe6f5f3ca58047c997bcdb34cfd0b,5,16
0124f98566340d635b81b8aa951a6672,28,240
01284da22082b43bf67bc3e5b9c23ffb,18,4
01292004b8eea7dc615fad08bf37e171,19,192
012adc11e157a5ae8ec9b3af859a9585,28,205
01302f339e29f03875d877fd26cb9b65,5,141
01375462e2263e6ca1521bc3160c869e,2,197
013b44338f5cee77a668b87cc0789a2d,30,220
013c5cae67bac58cd439447b6c15bbb3,28,6
013ff10c17db4083f9ea0d451652c218,14,16
0142227a6168b3399f5a19f4dbfb61ba,13,257
01436e2294529493b9d7a2c74fa6fe89,6,6
0146df09328f4e885092c32d9db52de8,3,17
01482145fc8f50d33a066c3014dcb62c,2,6
014b276b444106cc603ec617fd127901,25,10
01504b091b197abb84608208b6e373dc,22,12
01504eefc9cf690bb490c5a987cc0df2,24,247
015235e5efe8890f7a6d21c578dcaa2c,22,221
01582ff6ae427decfab02a9a1c2cae4c,5,10
015f0e752da095f328fa5be89a26a7fe,18,108
01624218b0bfb02d37d80a973878479d,6,4
